"filename", "language", "PowerShell", "TypeScript", "Markdown", "MS SQL", "JSON with Comments", "XML", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\lib\api\timing.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 48
"c:\Users\HP\Downloads\Main_Dashboard\lib\auth\app-user.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 48
"c:\Users\HP\Downloads\Main_Dashboard\lib\auth\auth-helpers.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 36
"c:\Users\HP\Downloads\Main_Dashboard\lib\auth\brand-access.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 38
"c:\Users\HP\Downloads\Main_Dashboard\lib\branches.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
"c:\Users\HP\Downloads\Main_Dashboard\lib\date-time.ts", "TypeScript", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 147
"c:\Users\HP\Downloads\Main_Dashboard\lib\db\index.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 31
"c:\Users\HP\Downloads\Main_Dashboard\lib\db\schema.ts", "TypeScript", 0, 428, 0, 0, 0, 0, 0, 0, 0, 0, 29, 44, 501
"c:\Users\HP\Downloads\Main_Dashboard\lib\hooks\use-user-preferences.ts", "TypeScript", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 136
"c:\Users\HP\Downloads\Main_Dashboard\lib\hooks\use-user-role.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 43
"c:\Users\HP\Downloads\Main_Dashboard\lib\notifications\types.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\HP\Downloads\Main_Dashboard\lib\notifications\workflow.ts", "TypeScript", 0, 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 343
"c:\Users\HP\Downloads\Main_Dashboard\lib\purchase-orders\access.ts", "TypeScript", 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 260
"c:\Users\HP\Downloads\Main_Dashboard\lib\redis\cache-utils.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 24, 24, 130
"c:\Users\HP\Downloads\Main_Dashboard\lib\redis\client.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 42
"c:\Users\HP\Downloads\Main_Dashboard\lib\supabase\admin.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 18
"c:\Users\HP\Downloads\Main_Dashboard\lib\supabase\client.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\HP\Downloads\Main_Dashboard\lib\supabase\middleware.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 60
"c:\Users\HP\Downloads\Main_Dashboard\lib\supabase\server.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 31
"c:\Users\HP\Downloads\Main_Dashboard\lib\supabase\storage.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 24, 19, 129
"c:\Users\HP\Downloads\Main_Dashboard\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\HP\Downloads\Main_Dashboard\middleware.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 22
"c:\Users\HP\Downloads\Main_Dashboard\next.config.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\HP\Downloads\Main_Dashboard\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 10196, 0, 0, 0, 1, 10197
"c:\Users\HP\Downloads\Main_Dashboard\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 1, 62
"c:\Users\HP\Downloads\Main_Dashboard\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\HP\Downloads\Main_Dashboard\public\file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Downloads\Main_Dashboard\public\globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Downloads\Main_Dashboard\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Downloads\Main_Dashboard\public\sw.js", "JavaScript", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 11, 63
"c:\Users\HP\Downloads\Main_Dashboard\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Downloads\Main_Dashboard\public\window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Downloads\Main_Dashboard\scratch\init-db.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\HP\Downloads\Main_Dashboard\scripts\add-actual-amount-column.sql", "MS SQL", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 3, 9
