Date : 2026-06-20 14:16:59
Directory : c:\Users\sahil\Downloads\am_group_main_dashboard
Total : 325 files,  33679 codes, 346 comments, 2629 blanks, all 36654 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| features\mg                                                                                                                     |          2 |      1,356 |          1 |         67 |      1,424 |
| features\platinum                                                                                                               |          3 |        156 |          0 |          8 |        164 |
| lib                                                                                                                             |         46 |      5,129 |         30 |        536 |      5,695 |
| lib\admin                                                                                                                       |          1 |        -13 |          0 |         -1 |        -14 |
| lib\am-finance                                                                                                                  |          1 |         -2 |          0 |          0 |         -2 |
| lib\analytics                                                                                                                   |         10 |        332 |         13 |         51 |        396 |
| lib\analytics (Files)                                                                                                           |          9 |        306 |         13 |         43 |        362 |
| lib\analytics\sql-dialect                                                                                                       |          1 |         26 |          0 |          8 |         34 |
| lib\auth                                                                                                                        |          2 |        111 |          2 |         12 |        125 |
| lib\db                                                                                                                          |          3 |        197 |          5 |         22 |        224 |
| lib\etl                                                                                                                         |          1 |         11 |          0 |          2 |         13 |
| lib\hyundai                                                                                                                     |          7 |        770 |          0 |         78 |        848 |
| lib\kia                                                                                                                         |          5 |      1,280 |          5 |        140 |      1,425 |
| lib\mg-proforma                                                                                                                 |          4 |        796 |          0 |         76 |        872 |
| lib\permissions                                                                                                                 |          2 |        114 |          0 |          3 |        117 |
| lib\platinum                                                                                                                    |          9 |      1,521 |          5 |        150 |      1,676 |
| lib\supabase                                                                                                                    |          1 |         12 |          0 |          3 |         15 |
| scratch                                                                                                                         |         49 |     10,983 |         29 |        250 |     11,262 |
| scripts                                                                                                                         |        143 |     10,268 |        270 |      1,182 |     11,720 |
| scripts (Files)                                                                                                                 |        124 |      9,024 |        223 |      1,013 |     10,260 |
| scripts\bigquery                                                                                                                |         18 |      1,105 |         47 |        146 |      1,298 |
| scripts\bigquery (Files)                                                                                                        |         12 |        588 |         38 |         99 |        725 |
| scripts\bigquery\ddl                                                                                                            |          5 |        449 |          7 |         45 |        501 |
| scripts\bigquery\scheduled-queries                                                                                              |          1 |         68 |          2 |          2 |         72 |
| scripts\lib                                                                                                                     |          1 |        139 |          0 |         23 |        162 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                        | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\sahil\Downloads\am_group_main_dashboard\.codex-dev.err.log                                                             | log            |        113 |          0 |          1 |        114 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\.codex-dev.log                                                                 | log            |        522 |          0 |          4 |        526 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\.kilo\plans\platinum-be-data-gap-analysis.md                                   | Markdown       |        342 |          0 |         88 |        430 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\.kilo\plans\report-table-mapping-analysis.md                                   | Markdown       |         90 |          0 |         21 |        111 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\PROJECT_CONTEXT.md                                                             | Markdown       |         36 |          0 |          8 |         44 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\page.tsx                                                             | TypeScript JSX |          6 |          0 |          1 |          7 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\settings\route.ts                                                | TypeScript     |          8 |          0 |          1 |          9 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\users\route.ts                                                   | TypeScript     |          5 |          0 |          0 |          5 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\complaints\route.ts                 | TypeScript     |         16 |          0 |          1 |         17 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\freshness\route.ts                  | TypeScript     |         14 |          0 |          0 |         14 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\open-ro\route.ts                    | TypeScript     |          3 |          0 |         -1 |          2 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\overview\route.ts                   | TypeScript     |         37 |          0 |          0 |         37 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\performance-intelligence\route.ts   | TypeScript     |          5 |          0 |          0 |          5 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\ro-billing-analysis\route.ts        | TypeScript     |         15 |          0 |          0 |         15 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\ro-billing-report\route.ts          | TypeScript     |         31 |          0 |          0 |         31 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\route.ts                            | TypeScript     |          3 |          0 |          0 |          3 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\rows\route.ts                       | TypeScript     |          3 |          0 |          0 |          3 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\service-dashboard-export\route.ts   | TypeScript     |         32 |          0 |          3 |         35 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\service-dashboard-preview\route.ts  | TypeScript     |         26 |          0 |          3 |         29 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\sot\route.ts                        | TypeScript     |         29 |          0 |          4 |         33 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\workshop-performance\route.ts       | TypeScript     |         36 |          0 |         -4 |         32 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\warranty-claims\actions\route.ts                        | TypeScript     |         41 |          0 |          0 |         41 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\warranty-claims\evidence\[id]\route.ts                  | TypeScript     |          4 |          0 |          0 |          4 |
