"filename", "language", "log", "Markdown", "TypeScript JSX", "JSON", "PostCSS", "TypeScript", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\workflow\route.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\hyundai\[...module]\page.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 5, 0, 12
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\hyundai\page.tsx", "TypeScript JSX", 0, 0, -4, 0, 0, 0, 0, 0, 5, 0, 1
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\mg\[...module]\page.tsx", "TypeScript JSX", 0, 0, 74, 0, 0, 0, 0, 0, 0, 12, 86
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\mg\page.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\mg\proforma\[section]\page.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\mg\proforma\page.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\platinum\[...module]\page.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\globals.css", "PostCSS", 0, 0, 0, 0, 90, 0, 0, 0, 0, 17, 107
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\layout.tsx", "TypeScript JSX", 0, 0, -18, 0, 0, 0, 0, 0, 0, -1, -19
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\purchase-orders\page.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\theme-initializer.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\layout\sidebar.tsx", "TypeScript JSX", 0, 0, 45, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\providers\query-provider.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\sahil\Downloads\am_group_main_dashboard\config\env-config.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\sahil\Downloads\am_group_main_dashboard\docs\bigquery-dual-write-contract.md", "Markdown", 0, 60, 0, 0, 0, 0, 0, 0, 0, 25, 85
"c:\Users\sahil\Downloads\am_group_main_dashboard\docs\bigquery-migration-deploy.md", "Markdown", 0, 64, 0, 0, 0, 0, 0, 0, 0, 29, 93
"c:\Users\sahil\Downloads\am_group_main_dashboard\docs\bigquery-migration-inventory-2026-06-15.md", "Markdown", 0, 109, 0, 0, 0, 0, 0, 0, 0, 8, 117
"c:\Users\sahil\Downloads\am_group_main_dashboard\docs\bigquery-migration-rollback.md", "Markdown", 0, 33, 0, 0, 0, 0, 0, 0, 0, 15, 48
"c:\Users\sahil\Downloads\am_group_main_dashboard\docs\database-performance-audit-2026-06-14.md", "Markdown", 0, 167, 0, 0, 0, 0, 0, 0, 0, 75, 242
"c:\Users\sahil\Downloads\am_group_main_dashboard\docs\hyundai-business-excellence-source-contract.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 8, 47
"c:\Users\sahil\Downloads\am_group_main_dashboard\docs\hyundai-data-coverage-2026-06-15.md", "Markdown", 0, 133, 0, 0, 0, 0, 0, 0, 0, 24, 157
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\business-excellence-page.tsx", "TypeScript JSX", 0, 0, 84, 0, 0, 0, 0, 0, 0, 1, 85
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\warranty-claims-page.tsx", "TypeScript JSX", 0, 0, 546, 0, 0, 0, 0, 0, 1, 32, 579
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\business-excellence-overview.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\service-dashboard-preview-section.tsx", "TypeScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\mg\mg-module-placeholder.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\mg\mg-proforma-page.tsx", "TypeScript JSX", 0, 0, 1327, 0, 0, 0, 0, 0, 1, 64, 1392
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\platinum\business-excellence-overview.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\platinum\business-excellence-page.tsx", "TypeScript JSX", 0, 0, 108, 0, 0, 0, 0, 0, 0, 3, 111
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\platinum\platinum-complaints-section.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\admin\authorization.ts", "TypeScript", 0, 0, 0, 0, 0, -13, 0, 0, 0, -1, -14
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\am-finance\access.ts", "TypeScript", 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, -2
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\bigquery-provider.ts", "TypeScript", 0, 0, 0, 0, 0, 57, 0, 0, 5, 7, 69
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\client.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\config.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\db.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 4, 3, 19
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\dual-provider.ts", "TypeScript", 0, 0, 0, 0, 0, 51, 0, 0, 0, 7, 58
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\index.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 7, 36
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\postgres-provider.ts", "TypeScript", 0, 0, 0, 0, 0, 35, 0, 0, 0, 2, 37
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\sql-dialect\porting-guide.md", "Markdown", 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 34
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\table-map.ts", "TypeScript", 0, 0, 0, 0, 0, 62, 0, 0, 4, 3, 69
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\types.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\auth\app-user.ts", "TypeScript", 0, 0, 0, 0, 0, 106, 0, 0, 1, 11, 118
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\auth\roles.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 1, 1, 7
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\db\auth-client.ts", "TypeScript", 0, 0, 0, 0, 0, 59, 0, 0, 3, 12, 74
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\db\index.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 2, 6, 31
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\db\schema.ts", "TypeScript", 0, 0, 0, 0, 0, 115, 0, 0, 0, 4, 119
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\etl\dual-write-types.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\business-excellence-calculations.ts", "TypeScript", 0, 0, 0, 0, 0, 62, 0, 0, 0, 12, 74
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\business-excellence-operations.ts", "TypeScript", 0, 0, 0, 0, 0, 156, 0, 0, 0, 11, 167
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\business-excellence.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\dealer-branch.ts", "TypeScript", 0, 0, 0, 0, 0, 41, 0, 0, 0, 4, 45
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\service-dashboard-export.ts", "TypeScript", 0, 0, 0, 0, 0, 341, 0, 0, 0, 22, 363
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\warranty-claims.ts", "TypeScript", 0, 0, 0, 0, 0, 126, 0, 0, 0, 19, 145
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\warranty-dealers.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 10, 43
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\business-excellence-contract.ts", "TypeScript", 0, 0, 0, 0, 0, 221, 0, 0, 0, 27, 248
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\dealer-branch.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 1, 3, 15
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\ro-billing-kpis.ts", "TypeScript", 0, 0, 0, 0, 0, 137, 0, 0, 1, 14, 152
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\service-dashboard-export.ts", "TypeScript", 0, 0, 0, 0, 0, 145, 0, 0, 1, 11, 157
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\service-dashboard-metrics.ts", "TypeScript", 0, 0, 0, 0, 0, 766, 0, 0, 2, 85, 853
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\mg-proforma\access.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 9, 42
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\mg-proforma\invoice.ts", "TypeScript", 0, 0, 0, 0, 0, 542, 0, 0, 0, 36, 578
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\mg-proforma\pricing.ts", "TypeScript", 0, 0, 0, 0, 0, 184, 0, 0, 0, 23, 207
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\mg-proforma\server.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 8, 45
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\permissions\registry.ts", "TypeScript", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 82
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\permissions\service.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 3, 35
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\business-excellence-calculations.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\business-excellence-coverage.ts", "TypeScript", 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, -11
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\business-excellence-metrics.ts", "TypeScript", 0, 0, 0, 0, 0, 210, 0, 0, 0, 30, 240
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\business-excellence-vas.ts", "TypeScript", 0, 0, 0, 0, 0, 195, 0, 0, 5, 27, 227
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\ro-billing-audit.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 4, 35
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\service-dashboard-export.ts", "TypeScript", 0, 0, 0, 0, 0, 523, 0, 0, 0, 30, 553
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\vas-identifiers.ts", "TypeScript", 0, 0, 0, 0, 0, 317, 0, 0, 0, 18, 335
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\warranty-claims.ts", "TypeScript", 0, 0, 0, 0, 0, 230, 0, 0, 0, 33, 263
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\warranty-dealers.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 8, 33
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\supabase\storage.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\sahil\Downloads\am_group_main_dashboard\package-lock.json", "JSON", 0, 0, 0, 733, 0, 0, 0, 0, 0, 0, 733
"c:\Users\sahil\Downloads\am_group_main_dashboard\package.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\audit-platinum-history.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 249, 0, 0, 20, 269
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\audit-platinum-january-2025.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 359, 0, 0, 8, 367
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\audit-platinum-operation-coverage.ts", "TypeScript", 0, 0, 0, 0, 0, 250, 0, 0, 0, 14, 264
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\calculate-pending.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 5, 47
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\calculate-pure-intake.ts", "TypeScript", 0, 0, 0, 0, 0, 56, 0, 0, 0, 4, 60
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\check-accidental-dates.ts", "TypeScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 5, 48
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\check-business-days.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\check-calculation-details.ts", "TypeScript", 0, 0, 0, 0, 0, 73, 0, 0, 2, 6, 81
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\check-canceled-parts.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\check-current-max.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 2, 9, 44
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\check-duplicates.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\check-merges.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\check-mg-tables.ts", "TypeScript", 0, 0, 0, 0, 0, 74, 0, 0, 8, 17, 99
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\check-missing-cols.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 1, 5, 26
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\check-oil-values.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\check-open-accidental-cancel.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\check-open-ro-status.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
