Date : 2026-06-20 14:16:59
Directory : c:\Users\sahil\Downloads\am_group_main_dashboard
Total : 566 files,  153820 codes, 1000 comments, 12487 blanks, all 167307 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\platinum\business-excellence\page.tsx                               | TypeScript JSX     |         29 |          0 |          7 |         36 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\platinum\page.tsx                                                   | TypeScript JSX     |         27 |          0 |          7 |         34 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\dashboard\page.tsx                                                         | TypeScript JSX     |         60 |          0 |          6 |         66 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\finance-orders\page.tsx                                                    | TypeScript JSX     |         23 |          0 |          5 |         28 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\forbidden.tsx                                                              | TypeScript JSX     |         20 |          0 |          2 |         22 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\globals.css                                                                | PostCSS            |      1,598 |          0 |        232 |      1,830 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\layout.tsx                                                                 | TypeScript JSX     |         51 |          0 |          5 |         56 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\page.tsx                                                                   | TypeScript JSX     |         16 |          1 |          4 |         21 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\purchase-orders\page.tsx                                                   | TypeScript JSX     |      2,257 |          3 |        239 |      2,499 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\theme-initializer.tsx                                                      | TypeScript JSX     |         30 |          0 |          5 |         35 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\components.json                                                                | JSON               |         20 |          0 |          1 |         21 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\components\analytics\activity-card.tsx                                         | TypeScript JSX     |         50 |          0 |          5 |         55 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\components\analytics\integration-list.tsx                                      | TypeScript JSX     |         65 |          0 |          4 |         69 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\components\analytics\kpi-card.tsx                                              | TypeScript JSX     |         55 |          0 |          7 |         62 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\components\analytics\sales-distribution.tsx                                    | TypeScript JSX     |         66 |          0 |          4 |         70 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\components\analytics\sales-overview.tsx                                        | TypeScript JSX     |         95 |          0 |          4 |         99 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\components\analytics\subscriber-chart.tsx                                      | TypeScript JSX     |         64 |          0 |          4 |         68 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\components\layout\header.tsx                                                   | TypeScript JSX     |        280 |          3 |         33 |        316 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\components\layout\main-layout.tsx                                              | TypeScript JSX     |         27 |          0 |          3 |         30 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\components\layout\notification-bell.tsx                                        | TypeScript JSX     |        830 |          0 |        116 |        946 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\components\layout\sidebar.tsx                                                  | TypeScript JSX     |        734 |         35 |         36 |        805 |
