"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "TypeScript JSX", "MS SQL", "JavaScript", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\platinum\business-excellence-page.tsx", "TypeScript JSX", 0, 0, 0, 0, -18, 0, 0, 0, -3, -21
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\platinum\platinum-complaints-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\activity\user-activity.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 0, 13, 96
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\db.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\postgres-provider.ts", "TypeScript", 0, 0, 0, -5, 0, 0, 0, 0, 1, -4
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\table-columns.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 9, 45
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\analytics\table-exists.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\auth\app-user.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\business-excellence\workshop-classification.ts", "TypeScript", 0, 0, 0, 119, 0, 0, 0, 0, 11, 130
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\db\auth-client.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\db\index.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\db\schema.ts", "TypeScript", 0, 0, 0, 305, 0, 0, 0, 0, 17, 322
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\business-excellence-metrics.ts", "TypeScript", 0, 0, 0, 208, 0, 0, 0, 0, 30, 238
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\business-excellence-operations.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 7, 47
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\business-excellence.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\dealer-branch.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\ro-billing-audit.ts", "TypeScript", 0, 0, 0, 570, 0, 0, 0, 0, 35, 605
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\service-dashboard-export.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\hyundai\warranty-claims.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 2, 46
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\business-excellence-contract.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\sales-report-types.ts", "TypeScript", 0, 0, 0, 197, 0, 0, 0, 0, 14, 211
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\sales-report.ts", "TypeScript", 0, 0, 0, 1022, 0, 0, 0, 0, 101, 1123
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\kia\service-dashboard-export.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\notifications\finance-workflow.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\notifications\petty-cash.ts", "TypeScript", 0, 0, 0, 248, 0, 0, 0, 0, 24, 272
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\notifications\types.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\notifications\workflow.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\permissions\registry.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 34
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\petty-cash\access.ts", "TypeScript", 0, 0, 0, 99, 0, 0, 0, 0, 23, 122
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\petty-cash\constants.ts", "TypeScript", 0, 0, 0, 77, 0, 0, 0, 0, 10, 87
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\petty-cash\server.ts", "TypeScript", 0, 0, 0, 897, 0, 0, 0, 0, 132, 1029
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\business-excellence-coverage.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\business-excellence-vas.ts", "TypeScript", 0, 0, 0, -5, 0, 0, 0, 0, -1, -6
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\service-dashboard-export.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\sahil\Downloads\am_group_main_dashboard\lib\platinum\warranty-claims.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 2, 46
"c:\Users\sahil\Downloads\am_group_main_dashboard\next.config.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\sahil\Downloads\am_group_main_dashboard\package.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\check-open-ro-statuses.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 7, 42
"c:\Users\sahil\Downloads\am_group_main_dashboard\scratch\inspect-open-ro.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
