"filename", "language", "log", "JavaScript", "PowerShell", "JSON with Comments", "Markdown", "TypeScript", "JSON", "TypeScript JSX", "MS SQL", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\reports\route.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\requests\[id]\workflow\route.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\requests\route.ts", "TypeScript", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 7, 52
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\route.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\upload\route.ts", "TypeScript", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 13, 88
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\approve\route.ts", "TypeScript", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 7, 17, 98
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\bulk-approve\route.ts", "TypeScript", 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 27, 203
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\file\route.ts", "TypeScript", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 1, 24, 114
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\route.ts", "TypeScript", 0, 0, 0, 0, 0, 495, 0, 0, 0, 0, 0, 4, 85, 584
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\upload\route.ts", "TypeScript", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 13, 87
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\workflow\route.ts", "TypeScript", 0, 0, 0, 0, 0, 617, 0, 0, 0, 0, 0, 2, 67, 686
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\user-preferences\route.ts", "TypeScript", 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 4, 23, 145
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 0, 1, 20, 241
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\hyundai\[...module]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 5, 17, 167
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\hyundai\business-excellence\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 7, 48
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\hyundai\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 7, 30
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\business-excellence\[report]\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\business-excellence\[report]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 12, 61
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\business-excellence\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 7, 36
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\demo-cars-list\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\demo-job-cards\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\insurance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 8, 55
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\proforma\[section]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
