"filename", "language", "Markdown", "JSON with Comments", "PowerShell", "TypeScript", "log", "JavaScript", "MS SQL", "XML", "JSON", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\purchase-orders\workflow-timeline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 196, 7, 17, 220
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\shared\access-control-overlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 3, 7, 51
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\shared\data-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 9, 195
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\shared\dynamic-row-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 320, 16, 36, 372
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\shared\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 1, 7, 104
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 6, 41
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 6, 57
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 9, 80
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 1, 6, 33
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 13, 121
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 18, 199
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 24, 169
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 1, 5, 28
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 5, 25
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 14, 159
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 11, 118
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 7, 54
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 1, 6, 27
"c:\Users\sahil\Downloads\am_group_main_dashboard\config\env-config.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 12, 5, 42
"c:\Users\sahil\Downloads\am_group_main_dashboard\context\sidebar-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 7, 29
"c:\Users\sahil\Downloads\am_group_main_dashboard\docs\BUSINESS_EXCELLENCE_SQL_QUERIES.md", "Markdown", 1213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 1357
"c:\Users\sahil\Downloads\am_group_main_dashboard\drizzle.config.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\sahil\Downloads\am_group_main_dashboard\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 3, 22
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\admin\admin-console.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 694, 0, 33, 727
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\am-finance\am-finance-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2683, 0, 212, 2895
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\business-excellence\executive-table-shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 6, 87
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\business-excellence\shared-ui.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 415, 0, 20, 435
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\dashboard\dashboard-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 4, 6, 126
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\finance-orders\finance-orders-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1219, 0, 70, 1289
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\business-excellence-overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1732, 0, 110, 1842
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\business-excellence-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7941, 18, 500, 8459
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\hyundai-complaints-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1131, 2, 72, 1205
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\hyundai-module-placeholder.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 3, 32
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\open-ro-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1254, 2, 79, 1335
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\repair-orders-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 410, 0, 33, 443
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\warranty-claims-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 578, 0, 32, 610
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\business-excellence-overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1767, 0, 112, 1879
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\business-excellence-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7959, 19, 498, 8476
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\demo-cars-list-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 540, 0, 36, 576
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\demo-job-cards-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 852, 0, 51, 903
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\kia-complaints-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1143, 2, 75, 1220
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\kia-proforma-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1284, 1, 68, 1353
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\open-ro-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1254, 2, 79, 1335
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\performance-diagnostics-panel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 0, 18, 264
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\service-appointment-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 339, 0, 31, 370
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\service-dashboard-preview-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 11, 196
