"filename", "language", "JSON with Comments", "PowerShell", "Markdown", "TypeScript", "MS SQL", "XML", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\ro-billing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 603, 0, 24, 78, 705
"c:\Users\HP\Downloads\Main_Dashboard\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 6, 66
"c:\Users\HP\Downloads\Main_Dashboard\app\forbidden.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 22
"c:\Users\HP\Downloads\Main_Dashboard\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 235, 0, 43, 278
"c:\Users\HP\Downloads\Main_Dashboard\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 6, 67
"c:\Users\HP\Downloads\Main_Dashboard\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 4, 18
"c:\Users\HP\Downloads\Main_Dashboard\app\purchase-orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 2131, 0, 3, 229, 2363
"c:\Users\HP\Downloads\Main_Dashboard\components.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\activity-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 5, 55
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\integration-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 4, 69
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\kpi-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 7, 62
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\sales-distribution.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 4, 70
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\sales-overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 4, 99
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\subscriber-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 4, 68
"c:\Users\HP\Downloads\Main_Dashboard\components\layout\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 191, 0, 3, 21, 215
"c:\Users\HP\Downloads\Main_Dashboard\components\layout\main-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"c:\Users\HP\Downloads\Main_Dashboard\components\layout\notification-bell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 830, 0, 0, 116, 946
"c:\Users\HP\Downloads\Main_Dashboard\components\layout\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 423, 0, 8, 25, 456
"c:\Users\HP\Downloads\Main_Dashboard\components\providers\query-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 2, 25, 137
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\approval-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 1, 15, 167
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\image-gallery.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 1, 20, 156
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\md-grid-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 432, 0, 1, 27, 460
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\md-table-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 534, 0, 1, 47, 582
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\multi-stage-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 599, 0, 13, 38, 650
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\multiple-image-upload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 339, 0, 1, 43, 383
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\po-table-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 279, 0, 4, 25, 308
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\remarks-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 1, 10, 111
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\stage1-initial-submission.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 360, 0, 6, 26, 392
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\stage2-vendor-information.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 263, 0, 0, 31, 294
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\stage3-ea-approval.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 4, 12, 185
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\stage3-md-approval.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 176, 0, 5, 13, 194
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\stage4-grn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 244, 0, 7, 20, 271
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\stage5-accounts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 305, 0, 3, 26, 334
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\workflow-card-theme.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\workflow-status-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 287, 0, 0, 19, 306
"c:\Users\HP\Downloads\Main_Dashboard\components\purchase-orders\workflow-timeline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 196, 0, 7, 16, 219
"c:\Users\HP\Downloads\Main_Dashboard\components\shared\access-control-overlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 3, 7, 51
