"filename", "language", "TypeScript JSX", "PostCSS", "TypeScript", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\settings\route.ts", "TypeScript", 0, 0, 27, 0, 6, 33
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\service-appointment\route.ts", "TypeScript", 0, 0, 381, 0, 21, 402
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\ai-summary\route.ts", "TypeScript", 0, 0, 489, 0, 71, 560
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\complaints\route.ts", "TypeScript", 0, 0, 1099, 0, 35, 1134
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\freshness\route.ts", "TypeScript", 0, 0, 140, 0, 13, 153
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\open-ro\route.ts", "TypeScript", 0, 0, 541, 0, 31, 572
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\overview\route.ts", "TypeScript", 0, 0, 1549, 0, 85, 1634
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\performance-intelligence\route.ts", "TypeScript", 0, 0, 457, 0, 30, 487
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 1585, 0, 144, 1729
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\route.ts", "TypeScript", 0, 0, 322, 0, 36, 358
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\rows\route.ts", "TypeScript", 0, 0, 16, 0, 5, 21
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\sot\route.ts", "TypeScript", 0, 0, 425, 0, 32, 457
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\workshop-performance\route.ts", "TypeScript", 0, 0, 1273, 0, 88, 1361
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 6, 0, 3, 9
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\business-excellence\route.ts", "TypeScript", 0, 0, 6, 0, 3, 9
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\finance-orders\route.ts", "TypeScript", 0, 0, 399, 0, 46, 445
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\finance-orders\workflow\route.ts", "TypeScript", 0, 0, 281, 0, 24, 305
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\health\route.ts", "TypeScript", 0, 0, 33, 2, 5, 40
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\notifications\route.ts", "TypeScript", 0, 0, 102, 0, 17, 119
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\approve\route.ts", "TypeScript", 0, 0, 74, 7, 17, 98
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\bulk-approve\route.ts", "TypeScript", 0, 0, 173, 0, 27, 200
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\file\route.ts", "TypeScript", 0, 0, 89, 1, 24, 114
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\route.ts", "TypeScript", 0, 0, 495, 4, 85, 584
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\upload\route.ts", "TypeScript", 0, 0, 74, 0, 13, 87
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\workflow\route.ts", "TypeScript", 0, 0, 607, 2, 66, 675
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\user-preferences\route.ts", "TypeScript", 0, 0, 118, 4, 23, 145
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\auth\login\page.tsx", "TypeScript JSX", 220, 0, 0, 1, 20, 241
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\hyundai\[...module]\page.tsx", "TypeScript JSX", 138, 0, 0, 0, 17, 155
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\hyundai\business-excellence\page.tsx", "TypeScript JSX", 41, 0, 0, 0, 7, 48
