"filename", "language", "TypeScript", "Markdown", "JSON", "JavaScript", "PowerShell", "JSON with Comments", "TypeScript JSX", "MS SQL", "Log", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\bookings\[id]\proforma\route.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\bookings\[id]\release\route.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\bookings\[id]\route.ts", "TypeScript", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 103
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\bookings\[id]\tracking-link\route.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 30
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\bookings\[id]\transfer\route.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\bookings\check-stock\route.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 54
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\bookings\extract-id-document\route.ts", "TypeScript", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 14, 167
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\bookings\route.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 108
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\bookings\verify-cost-sheet\route.ts", "TypeScript", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22, 187
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\ai-summary\route.ts", "TypeScript", 446, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 511
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\complaints\route.ts", "TypeScript", 748, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 774
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\freshness\route.ts", "TypeScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 138
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\open-ro\route.ts", "TypeScript", 523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 558
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\overview\route.ts", "TypeScript", 1099, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 1160
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\performance-intelligence\route.ts", "TypeScript", 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 480
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 1691, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 1839
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\route.ts", "TypeScript", 329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 367
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\rows\route.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\service-dashboard-email\route.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 59
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\service-dashboard-export\route.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\service-dashboard-preview\route.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\workshop-performance\route.ts", "TypeScript", 885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 953
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\workshop-summary\route.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\call-analytics\route.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 35
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\call-center\agent-phone\route.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\call-center\call\route.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\call-center\disposition\route.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\call-center\route.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\call-center\webhook\route.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 43
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\demo-cars-list\route.ts", "TypeScript", 536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48, 590
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\demo-job-cards\route.ts", "TypeScript", 422, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 473
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\follow-ups\[id]\route.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 49
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\follow-ups\bookings\route.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\follow-ups\route.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\follow-ups\run-reminders\route.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 31
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\maintenance\route.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 8, 90
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\[id]\preview\route.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\[id]\route.ts", "TypeScript", 328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 24, 382
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\analytics\route.ts", "TypeScript", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 148
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\options\route.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 114
