"filename", "language", "Log", "JSON with Comments", "Markdown", "PowerShell", "JSON", "JavaScript", "TypeScript", "MS SQL", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\app\api\health\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 2, 5, 40
"c:\Users\HP\Downloads\Main_Dashboard\app\api\notifications\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 17, 119
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\approve\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 7, 17, 98
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\bulk-approve\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 27, 196
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\file\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 1, 24, 114
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 495, 0, 0, 0, 0, 4, 85, 584
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\upload\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 13, 87
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\workflow\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 595, 0, 0, 0, 0, 2, 66, 663
"c:\Users\HP\Downloads\Main_Dashboard\app\api\user-preferences\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 4, 23, 145
"c:\Users\HP\Downloads\Main_Dashboard\app\auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 1, 20, 241
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\hyundai\[...module]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 16, 137
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\hyundai\business-excellence\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 7, 48
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\hyundai\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 7, 29
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\business-excellence\[report]\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\business-excellence\[report]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 12, 60
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\business-excellence\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 7, 36
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\demo-cars-list\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 6, 23
